País,Kilómetros
China ,"12,846"
India ,"15,108"
Estados Unidos ,"1,629"
Indonesia ,"15,349"
Pakistán ,"13,966"
Brasil ,"6,921"
Nigeria ,"11,726"
Bangladesh ,"14,588"
Rusia ,"10,241"
Japón ,"10,817"
Etiopía ,"14,607"
Filipinas ,"13,731"
Egipto ,"12,513"
Vietnam ,"14,664"
Congo Democrático ,"13,679"
Alemania ,"9,465"
Turquía ,"11,806"
Irán ,"13,310"
Tailandia ,"14,947"
Francia ,"9,207"
Reino Unido ,"8,429"
Italia ,"10,166"
Sudáfrica ,"14,620"
Tanzania ,"15,097"
Myanmar (Birmania) ,"14,585"
Corea del Sur ,"11,563"
Kenia ,"15,021"
Colombia ,"3,694"
España ,"9,042"
Ucrania ,"10,799"
Argentina ,"7,981"
Uganda ,"14,415"
Argelia ,"10,089"
Sudán ,"13,487"
Irak ,"12,771"
Polonia ,"9,907"
Afganistán ,"13,550"
Canadá ,"3,622"
Marruecos ,"9,147"
Arabia Saudí ,"13,699"
Uzbekistán ,"12,686"
Perú ,"4,708"
Malasia ,"15,946"
Angola ,"13,599"
Ghana ,"10,825"
Mozambique ,"15,659"
Venezuela ,"4,291"
Yemen ,"14,658"
Nepal ,"14,203"
Madagascar ,"16,818"
Corea del Norte ,"11,237"
Camerún ,"12,173"
Costa de Marfil ,"10,390"
Australia ,"14,359"
Taiwán ,"12,980"
Níger ,"11,219"
Sri Lanka ,"16,500"
Burkina Faso ,"10,568"
Rumanía ,"10,664"
Mali ,"10,079"
Chile ,"7,332"
Kazajstán ,"11,999"
Malaui ,"15,351"
Zambia ,"14,690"
Guatemala ,"1,556"
Holanda ,"9,102"
Ecuador ,"3,860"
Siria ,"12,376"
Camboya ,"15,013"
Senegal ,"9,191"
Chad ,"12,314"
Somalia ,"15,367"
Zimbawe ,"15,019"
Guinea ,"9,865"
Ruanda ,"14,374"
Túnez ,"10,424"
Benín ,"11,091"
Bélgica ,"9,137"
Bolivia ,"6,121"
Cuba ,"2,555"
Burundi ,"14,454"
Haití ,"3,177"
Grecia ,"10,979"
República Dominicana ,"3,399"
República Checa ,"9,844"
Portugal ,"8,734"
Suecia ,"9,313"
Jordania ,"12,575"
Azerbaiyán ,"12,298"
Hungría ,"10,260"
Emiratos Árabes Unidos ,"14,212"
Honduras ,"1,949"
Bielorrusia ,"10,211"
Tayikistán ,"13,056"
Israel ,"12,449"
Austria ,"9,938"
Papúa-Nueva Guinea ,"12,689"
Suiza ,"9,579"
República de Sudán del Sur ,"13,982"
Togo ,"10,977"
