Material,Categoría de impacto,Abreviación,Unidad,A1-A3,A1,A2,A3
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.02,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,0.94,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Acidificación,PA,kg SO2 eq,0.01,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Eutrofización,PE,kg PO4 eq,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de escasez de agua,EA,m3 eq,0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Formación de Ozono Troposférico,POT,"kg Nox, kg O3, o kg etano",0.00,,,
Panel de aislamiento térmico marca ROLAN,Potencial de Agotamiento de recursos energéticos no renovables ,PARNR,MJ,0.00,,,
Panel de aislamiento térmico marca ROLAN,Human toxicity,,"kg 1,4-DB eq",0.00,,,
Panel de aislamiento térmico marca ROLAN,Fresh water aquatic ecotox.,,"kg 1,4-DB eq",0.00,,,
Panel de aislamiento térmico marca ROLAN,Marine aquatic ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Panel de aislamiento térmico marca ROLAN,Terrestrial ecotoxicity,,"kg 1,4-DB eq",0.00,,,
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Minerales ,PAAe,kg SB eq,0.00,0.0000776,0.0000223,0.00000816
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de Recursos Abióticos Fósiles ,PAAf,MJ,8466.00,8174,177,115
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Calentamiento Global,PCG 100,kg CO2 eq,451.00,338,12,101
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Agotamiento de la Capa de Ozono,PAO,kg CFC-11 eq,0.00,0.0000533,0.00000195,0.000000828
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Oxidación Fotoquímica,PFOF,kg C2H4,0.06,0.0493,0.00297,0.0035
Varilla corrugada fabricada con material de desecho marca TERNIUM,Potencial de Acidificación,PA,kg SO2 eq,4.40,4.26,0.0662,0.0712
