Material,Unidad
Panel de aislamiento térmico marca ROLAN,m²
Varilla corrugada fabricada con material de desecho marca TERNIUM,Ton
Varilla corrugada fabricada con mineral de hierro marca TERNIUM,Ton
"Losacero 1.5"" y 2.5"" marca TERNIUM",Ton
"Losacero 3"" marca TERNIUM",Ton
Alambrón de acero fabricado con material de desecho marca TYASA,Ton
Varilla corrugada fabricada con material de desecho marca TYASA,Ton
Puerta de seguridad multipropósito marca ASTRUMEX,Pza
Puerta de seguridad contra incendios marca ASTRUMEX,Pza
Pilotes prefabricados de concreto reforzado de 40x40cms de grupo INDI,Pza
Pilotes prefabricados de concreto reforzado de 50x50cms de grupo INDI,Pza
Panel metálico para cubierta GLAMET FRIGO (Promedio 141-B) marca METENCO,m²
Panel metálico para cubierta GLAMET FRIGO (Cyclopentane) marca METENCO,m²
Panel metálico para cubierta METCOPPO marca METENCO,m²
Panel metálico para muros SUPERWALL (promedio Cyclopentane) marca METENCO,m²
Panel metálico para muros HWALL marca METENCO,m²
Panel metálico para muros SUPERWALL (141-B) marca METENCO,m²
Varilla corrugada fabricada con material de desecho de grupo Acerero,Ton
Varilla corrugada fabricada con material de desecho marca DEACERO,Ton
Alambrón de acero fabricado con material de desecho marca DEACERO,Ton
Alambre galvanizado fabricado con material de desecho marca DEACERO,Ton
Cable de acero pretensado fabricado con material de desecho marca DEACERO,Ton
Viga de acero perfil 'H' fabricada con material de desecho marca DEACERO,Ton
Placa de acero laminada en caliente marca AHMSA,Ton
Viga de acero perfil 'W' fabricada con material de desecho marca AHMSA,Ton
Viga de acero perfil 'C' fabricada con material de desecho marca AHMSA,Ton
Viga de acero perfil 'L' fabricada con material de desecho marca AHMSA,Ton
Rollo de acero laminado en calientemarca AHMSA,Ton
Panel de yeso marca USG tablaroca,m²
Panel de yeso marca USG tablaroca Ultralight,m²
Panel de yeso marca USG tablaroca Antimoho,m²
Panel de yeso marca USG tablaroca Firecode Type X,m²
Panel de yeso marca USG tablaroca Firecode Type C,m²
Panel de yeso marca USG tablaroca Antimoho Firecode Type X,m²
Panel de yeso marca USG tablaroca Liner,m²
Panel de yeso marca USG tablaroca Sheetrock,m²
Panel de yeso marca USG tablaroca Sheetrock con recubrimiento de yeso,m²
Panel de yeso marca USG tablaroca con recubrimiento de vidrio,m²
Panel de cemento marca USG Durock,m²
Panel de cemento marca USG Duracrete,m²
Acero laminado en caliente grado A36 marca TERNIUM,Ton
Acero laminado en caliente grado A50 marca TERNIUM,Ton
Acero laminado en caliente grado A55 marca TERNIUM,Ton
Acero laminado en caliente grado A60 marca TERNIUM,Ton
Panel metálico con aislamiento térmico para techos marca Ternium Multytecho,m²
Panel metálico con aislamiento térmico para muros marca Ternium Multymuro,m²
Panel metálico con aislamiento térmico para techos marca Ternium Econotecho,m²
Panel metálico con aislamiento térmico para muros marca Ternium Economuro,m²
Panel metálico con aislamiento térmico marca Ternium Arkirib,m²
Panel metálico con aislamiento térmico para techos marca Ternium Galvatecho,m²
Lámina de acero corrugada marca Ternium TRD 91.5 Roof Deck,Ton
Lámina de acero en rollo y chapa de acero galvanizado marca TERNIUM,Ton
Lámina de acero laminado a presión galvanizado (corrugado y rectangular) marca TERNIUM,Ton
Lámina de acero en rollo y chapa de acero pintado (Ternium Pintro) marca TERNIUM,Ton
Lámina de acero pintada (corrugado y rectangular) marca TERNIUM,Ton
Columnas y vigas de acero como estructura principal marca TERNIUM,Ton
Estructura de acero tipo nave industrial (Wide Bay) marca TERNIUM,Ton
"Postes de acero tipo ""Studs"" marca TERNIUM",Ton
Panel de acero RIB marca TERNIUM,Ton
Cubierta de acero SSR marca TERNIUM,Ton
Molduras o canalones de acero marca TERNIUM,Ton
Superficie sólida acrílica moldeada marca PLASTIGLAS Novanite,Ton
Block_Concrete block,kg
Block_Concrete block - 390 × 190 × 90 mm,Pza
Block_Concrete block - 390 × 190 × 140 mm,Pza
Block_Concrete block - 390 × 190 × 190 mm,Pza
Cemento_Cement mortar,kg
Cemento_Portland cement,kg
Concreto_AAC block - 600 × 200 × 100 mm,Pza
Concreto_AAC block - 600 × 200 × 150 mm,Pza
Concreto_AAC block - 600 × 200 × 200 mm,Pza
Concreto_Autoclaved aerated concrete (AAC),kg
Concreto_Concrete 20 MPa,m³
Concreto_Concrete 20 MPa - 30% fly ash,m³
Concreto_Concrete 20 MPa - 30% GGBFS,m³
Concreto_Concrete 25 MPa,m³
Concreto_Concrete 25 MPa - 30% fly ash,m³
Concreto_concrete 25 MPa - 30% GGBFS,m³
Concreto_Concrete 32 MPa,m³
Concreto_Concrete 32 MPa - 30% fly ash,m³
Concreto_Concrete 32 MPa - 30% GGBFS,m³
Concreto_Concrete 40 MPa,m³
Concreto_Concrete 40 MPa - 30% fly ash,m³
Concreto_Concrete 40 MPa - 30% GGBFS,m³
Concreto_Concrete 50 MPa,m³
Concreto_Concrete 50 MPa - 30% fly ash,m³
Concreto_Concrete 50 MPa - 30% GGBFS,m³
Panel de fibrocemento_FC weatherboard - 150 × 16 mm - per m² wall,m²
Panel de fibrocemento_FC weatherboard - 180 × 16 mm - per m² wall,m²
Panel de fibrocemento_FC weatherboard - 205 × 7.5 mm - per m² wall,m²
Panel de fibrocemento_FC weatherboard - 230 × 7.5 mm - per m² wall,m²
Panel de fibrocemento_FC weatherboard - 300 × 7.5 mm - per m² wall,m²
Panel de fibrocemento_Fibre cement sheet,kg
Panel de fibrocemento_Fibre cement sheet - 4.5 mm,m²
Panel de fibrocemento_Fibre cement sheet - 6 mm,m²
Panel de fibrocemento_Fibre cement sheet - 7.5 mm,m²
Panel de fibrocemento_Fibre cement_Fibre cement sheet - 18 mm,m²
Panel de fibrocemento_Fibre cement_Fibre cement sheet - 24 mm,m²
Panel de fibrocemento_Fibre cement weatherboard,kg
Yeso_Gypsum plaster,kg
Panel de yeso_Plasterboard - 10 mm,m²
Panel de yeso_Plasterboard - 13 mm,m²
Teja de concreto_Concrete roof tile,kg
Cristal plano_Double glazing - flat glass,m²
Cristal plano_Double glazing - flat glass; 4:12:4,m²
Cristal plano_Double glazing - flat glass; 6:6:6,m²
Cristal plano_Double glazing - flat glass; 6:12:6,m²
Cristal plano_Flat glass,kg
Cristal plano_Flat glass sheet - 3 mm,m²
Cristal plano_Flat glass sheet - 4 mm,m²
Cristal plano_Flat glass sheet - 5 mm,m²
Cristal plano_Flat glass sheet - 6 mm,m²
Cristal plano_Flat glass sheet - 10 mm,m²
Cristal plano_Flat glass sheet - 12 mm,m²
Cristal laminado_Laminated glass,kg
Cristal laminado_Laminated glass sheet - 6.38 mm,m²
Cristal laminado_Laminated glass sheet - 8.38 mm,m²
Cristal laminado_Laminated glass sheet - 10.38 mm,m²
Cristal laminado_Laminated glass sheet - 12.38 mm,m²
Cristal templado_Double glazing - toughened glass,m²
Cristal templado_Double glazing - toughened glass; 4:12:4,m²
Cristal templado_Double glazing - toughened glass; 5:6:5,m²
Cristal templado_Double glazing - toughened glass; 5:12:5,m²
Cristal templado_Double glazing - toughened glass; 6:6:6,m²
Cristal templado_Double glazing - toughened glass; 6:12:6,m²
